# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	13888
#@/user_id	68f0eb48-92c8-401d-96d2-9347ba0bc0d7
bei zi 	被子	c=1 d=1 t=7364
bei zi 	輩子	c=2 d=1 t=7363
ben 	本	c=2 d=1 t=9019
ben ci 	本次	c=1 d=1 t=11621
ben di 	本地	c=10 d=2.03401 t=11949
ben gai 	本該	c=1 d=1 t=10440
ben jiu 	本就	c=1 d=1 t=7026
ben ke 	本科	c=5 d=1.08698 t=13196
ben lai 	本來	c=3 d=1 t=13512
ben qi 	本期	c=1 d=1 t=8244
ben shen 	本身	c=1 d=1 t=7110
ben xiang mu 	本項目	c=1 d=1 t=1113
ben zhi 	本質	c=1 d=1 t=1678
ben zhou 	本週	c=2 d=1.41271 t=13562
ben zhuo 	笨拙	c=1 d=1 t=10561
bi 	比	c=3 d=0.1 t=12485
bi 	筆	c=1 d=1 t=2461
bi 	逼	c=0 d=0.1 t=5046
bi bei 	必備	c=1 d=1 t=3823
bi ci 	彼此	c=2 d=1.00197 t=6459
bi de 	彼得	c=6 d=1.18834 t=6182
bi de yuan li 	彼得原理	c=1 d=1 t=5409
bi fang 	比方	c=1 d=1 t=9736
bi ji 	筆記	c=4 d=1.78871 t=5787
bi jia 	比價	c=1 d=1 t=2438
bi jia 	閉架	c=0 d=0.1 t=2438
bi jia te cang 	閉架特藏	c=1 d=1 t=2439
bi jiao 	比較	c=12 d=1.00024 t=13886
bi jiao gao 	比較高	c=5 d=1 t=13783
bi jiao kuai 	比較快	c=1 d=1 t=3966
bi jiao man 	比較慢	c=1 d=1 t=11639
bi jiao shao 	比較少	c=1 d=1 t=6270
bi jiao yan zhong 	比較嚴重	c=1 d=1 t=2849
bi jiao zhong yao 	比較重要	c=1 d=1 t=751
bi jing 	畢竟	c=3 d=1.89596 t=8635
bi li 	比例	c=1 d=1 t=13185
bi li bi li 	哔哩哔哩	c=2 d=1.00001 t=12971
bi mi 	筆迷	c=0 d=0.1 t=7811
bi mi na 	筆迷那	c=1 d=1 t=7812
bi mian 	避免	c=1 d=1 t=7813
bi qi 	比起	c=2 d=1 t=11943
bi ru 	比如	c=7 d=1.00708 t=13004
bi si ni 	逼死你	c=1 d=1 t=5047
bi xue 	必學	c=1 d=1 t=6861
bi ya 	比亞	c=1 d=1 t=6174
bi ye 	畢業	c=3 d=1.90937 t=8381
bi yu 	比喻	c=1 d=1 t=165
bian 	便	c=1 d=1 t=3039
bian 	變	c=1 d=1 t=1456
bian 	遍	c=3 d=2.93208 t=1455
bian 	邊	c=4 d=1 t=10726
bian bie 	辨別	c=1 d=1 t=5832
bian cheng 	編程	c=1 d=1 t=10776
